PUMA20_GISJOIN,CZ90,CZ90_name,pop_overlap,share_of_PUMA20,PUMA20_total_pop,cells,grid_res_m,crs_epsg,method,PUMA20_name,state_fips,state,afactor,GISJOIN,STATEFP20,PUMACE20,GEOID20
G06005912,38300,"Los Angeles city, CA",170293.5784,1.0,170293.5784,4121,100,5070,building_footprint_area,"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities PUMA",6,CA,1.0,G06005912,6,5912,605912
G06005920,38300,"Los Angeles city, CA",146109.2499,1.0,146109.2499,5869,100,5070,building_footprint_area,Orange County (Central)--Orange & Villa Park Cities PUMA,6,CA,1.0,G06005920,6,5920,605920
G06006519,38300,"Los Angeles city, CA",102575.4253,1.0,102575.4253,3095,100,5070,building_footprint_area,Riverside County (Northwest)--Moreno Valley City (South) PUMA,6,CA,1.0,G06006519,6,6519,606519
G06005913,38300,"Los Angeles city, CA",159579.0992,1.0,159579.0992,3636,100,5070,building_footprint_area,Orange County (Northwest)--Garden Grove City (East) PUMA,6,CA,1.0,G06005913,6,5913,605913
G06006521,38300,"Los Angeles city, CA",108055.1039,1.0,108055.1039,8040,100,5070,building_footprint_area,"Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens PUMA",6,CA,1.0,G06006521,6,6521,606521
G06005914,38300,"Los Angeles city, CA",196077.678,0.999975424,196082.4969,5908,100,5070,building_footprint_area,Orange County (Northwest)--Huntington Beach City PUMA,6,CA,0.999975424,G06005914,6,5914,605914
G06005916,38300,"Los Angeles city, CA",144649.1111,1.0,144649.1111,2650,100,5070,building_footprint_area,Orange County (Central)--Santa Ana City (West) PUMA,6,CA,1.0,G06005916,6,5916,605916
G06005917,38300,"Los Angeles city, CA",155343.6897,1.0,155343.6897,2804,100,5070,building_footprint_area,Orange County (Central)--Santa Ana City (East) PUMA,6,CA,1.0,G06005917,6,5917,605917
G06006502,38300,"Los Angeles city, CA",131454.6442,1.0,131454.6442,14310,100,5070,building_footprint_area,"Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities PUMA",6,CA,1.0,G06006502,6,6502,606502
G06005922,38300,"Los Angeles city, CA",126844.8705,1.0,126844.8705,3519,100,5070,building_footprint_area,Orange County (Central)--Irvine (Northwest) & Tustin Cities PUMA,6,CA,1.0,G06005922,6,5922,605922
G06006509,38300,"Los Angeles city, CA",132914.9752,1.0,132914.9752,9286,100,5070,building_footprint_area,"Riverside County (West Central)--Perris City, Temescal Valley & Mead Valley PUMA",6,CA,1.0,G06006509,6,6509,606509
G06005918,38300,"Los Angeles city, CA",179812.6747,0.999966439,179818.7096,4991,100,5070,building_footprint_area,Orange County (Central)--Costa Mesa & Fountain Valley Cities PUMA,6,CA,0.999966439,G06005918,6,5918,605918
G06006515,38300,"Los Angeles city, CA",159227.7864,0.999984907,159230.1896,15047,100,5070,building_footprint_area,"Riverside County (Central)--Palm Desert, La Quinta (West) & Desert Hot Springs Cities PUMA",6,CA,0.999984907,G06006515,6,6515,606515
G06005923,38300,"Los Angeles city, CA",142234.9874,1.0,142234.9874,3152,100,5070,building_footprint_area,Orange County (Central)--Irvine City (Central) PUMA,6,CA,1.0,G06005923,6,5923,605923
G06006516,38300,"Los Angeles city, CA",104836.3548,1.0,104836.3548,6402,100,5070,building_footprint_area,Riverside County (Southwest)--Lake Elsinore & Canyon Lake Cities PUMA,6,CA,1.0,G06006516,6,6516,606516
G06005925,38300,"Los Angeles city, CA",177441.3991,0.992108048,178852.8975,6707,100,5070,building_footprint_area,"Orange County (West Central)--Newport Beach, Aliso Viejo & Laguna Woods Cities PUMA",6,CA,0.992108048,G06005925,6,5925,605925
G06005924,38300,"Los Angeles city, CA",106730.7485,1.0,106730.7485,2821,100,5070,building_footprint_area,Orange County (Central)--Irvine City (South) PUMA,6,CA,1.0,G06005924,6,5924,605924
G06005927,38300,"Los Angeles city, CA",110082.4182,1.0,110082.4182,4428,100,5070,building_footprint_area,Orange County (Southeast)--Rancho Santa Margarita City & Ladera Ranch PUMA,6,CA,1.0,G06005927,6,5927,605927
G06006517,38300,"Los Angeles city, CA",115664.8586,1.0,115664.8586,6533,100,5070,building_footprint_area,Riverside County (Southwest)--Menifee City PUMA,6,CA,1.0,G06006517,6,6517,606517
G06006525,38300,"Los Angeles city, CA",131684.2117,1.0,131684.2117,6875,100,5070,building_footprint_area,Riverside County (Southwest)--Hemet City & East Hemet PUMA,6,CA,1.0,G06006525,6,6525,606525
G06005926,38300,"Los Angeles city, CA",117320.6185,1.0,117320.6185,4664,100,5070,building_footprint_area,Orange County (South Central)--Mission Viejo and Laguna Hills Cities PUMA,6,CA,1.0,G06005926,6,5926,605926
G06006501,38300,"Los Angeles city, CA",185868.4443,1.0,185868.4443,11843,100,5070,building_footprint_area,"Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities PUMA",6,CA,1.0,G06006501,6,6501,606501
G06006524,38300,"Los Angeles city, CA",185194.1772,0.999993547,185195.3722,10858,100,5070,building_footprint_area,Riverside County (Southwest)--Murrieta & Wildomar Cities PUMA,6,CA,0.999993547,G06006524,6,6524,606524
G06005928,38300,"Los Angeles city, CA",186667.6038,0.999097621,186836.2009,8036,100,5070,building_footprint_area,"Orange County (Southwest)--San Clemente, Laguna Niguel & San Juan Capistrano Cities PUMA",6,CA,0.999097621,G06005928,6,5928,605928
